ID,Fecha,Año,Mes,País,Región,Sector,Tamaño_Empresa,Empleados,Certificación,Tipo_Residuo,Estrategia_Circular,Residuos_Generados_Ton,Residuos_Recuperados_Ton,Residuos_Dispuestos_Ton,Tasa_Recuperación_Pct,CO2_Evitado_TonCO2eq,Agua_Ahorrada_m3,Energía_Ahorrada_MWh,Inversión_USD,Ingresos_Circular_USD,Empleos_Creados,ROI_Pct,Índice_Circularidad
1,2024-12-18,2024,12,España,Norte,Manufactura,Pequeña (10-49),36,ISO 50001,Papel/Cartón,Upcycling,439.26,232.41,206.85,52.91,84.96,1034.6,997.08,14241.45,15615.93,41,9.65,6.3
2,2021-02-03,2021,2,México,Sur,Agroindustria,Mediana (50-249),125,ISO 50001,Textil,Remanufactura,1902.74,913.32,989.42,48.0,965.11,4631.47,754.29,230253.01,201351.3,24,-12.55,6.7
3,2021-02-28,2021,2,Perú,Sur,Alimentos,Micro (<10),2,B Corp,Vidrio,Reciclaje,1167.79,325.56,842.23,27.88,296.76,3282.21,1053.59,185720.3,209589.28,17,12.85,5.8
4,2020-11-11,2020,11,Argentina,Centro,Agroindustria,Mediana (50-249),217,B Corp,Construcción,Digestión Anaeróbica,4215.05,3394.3,820.75,80.53,2728.7,6562.38,9727.72,134602.7,152497.93,36,13.29,4.6
5,2023-05-24,2023,5,Uruguay,Centro,Agroindustria,Pequeña (10-49),19,B Corp,Papel/Cartón,Compostaje,2925.01,2633.39,291.62,90.03,3103.93,11747.11,21018.49,255253.62,197241.68,3,-22.73,8.1
6,2023-05-18,2023,5,Brasil,Oeste,Alimentos,Grande (250+),1179,Cradle to Cradle,Plástico,Digestión Anaeróbica,4304.59,899.47,3405.12,20.9,1696.03,9627.11,4072.15,134145.77,325019.83,7,142.29,1.0
7,2024-09-20,2024,9,Chile,Este,Químicos,Micro (<10),1,ISO 14001 + B Corp,Metal,Economía de Producto como Servicio,998.56,490.94,507.62,49.16,321.77,7055.91,3641.92,459328.25,1055000.63,31,129.68,8.3
8,2019-09-25,2019,9,Argentina,Oeste,Manufactura,Micro (<10),4,ISO 14001,Vidrio,Intercambio Industrial,633.17,452.47,180.7,71.46,1078.27,1687.36,2016.91,303690.36,1030448.33,34,239.31,6.8
9,2021-01-19,2021,1,Uruguay,Norte,Químicos,Pequeña (10-49),42,ISO 50001,Construcción,Reciclaje,2771.84,1826.6,945.24,65.9,576.88,20194.62,1719.84,34632.76,20580.13,21,-40.58,7.0
10,2022-04-04,2022,4,Argentina,Oeste,Químicos,Grande (250+),944,ISO 50001,Metal,Intercambio Industrial,489.17,262.3,226.87,53.62,323.12,2047.21,1565.42,337008.91,1163521.79,6,245.25,8.2
11,2020-05-15,2020,5,España,Oeste,Textil,Grande (250+),1082,ISO 50001,Vidrio,Upcycling,1252.78,1152.74,100.04,92.01,1469.61,15133.42,5334.24,26243.58,91796.04,0,249.78,5.4
12,2021-08-10,2021,8,Argentina,Oeste,Papel y Cartón,Grande (250+),892,ISO 14001,Residuos Orgánicos,Compostaje,2117.92,2005.05,112.87,94.67,4992.43,18051.21,11805.86,78243.62,108768.29,3,39.01,1.5
13,2019-03-03,2019,3,Paraguay,Centro,Metales,Pequeña (10-49),36,ISO 14001,Químico Peligroso,Economía de Producto como Servicio,2977.2,2163.43,813.77,72.67,1768.49,6746.59,15527.27,123861.46,282844.76,39,128.36,6.1
14,2020-11-21,2020,11,Perú,Oeste,Electrónica,Pequeña (10-49),23,EMAS,Vidrio,Remanufactura,1503.49,671.49,832.0,44.66,1312.16,1664.85,2643.75,499228.77,1741454.4,4,248.83,2.2
15,2023-12-10,2023,12,Perú,Oeste,Construcción,Mediana (50-249),77,ISO 50001,Vidrio,Remanufactura,3060.33,2968.65,91.68,97.0,5161.73,4766.5,19677.05,150390.0,374496.09,8,149.02,6.0
16,2023-08-09,2023,8,Chile,Este,Electrónica,Mediana (50-249),239,ISO 50001,Madera,Upcycling,4527.16,3893.18,633.98,86.0,1958.49,28102.04,10025.33,2769.3,7791.03,40,181.34,6.0
17,2023-01-27,2023,1,Brasil,Sur,Químicos,Micro (<10),6,B Corp,Residuos Orgánicos,Reciclaje,1849.23,1166.81,682.42,63.1,1453.3,2409.1,3774.5,466610.92,1594217.64,2,241.66,7.0
18,2020-07-01,2020,7,Perú,Sur,Químicos,Pequeña (10-49),34,ISO 50001,Textil,Intercambio Industrial,900.91,829.83,71.08,92.11,1677.29,5857.05,4584.23,367793.71,457719.91,10,24.45,3.0
19,2022-06-09,2022,6,Uruguay,Sur,Plásticos,Pequeña (10-49),26,ISO 14001,Papel/Cartón,Upcycling,4322.44,4124.36,198.08,95.42,3769.97,41903.51,14425.31,490593.69,1034489.01,1,110.86,9.7
20,2022-10-17,2022,10,Chile,Este,Manufactura,Grande (250+),393,EMAS,Plástico,Intercambio Industrial,582.65,525.33,57.32,90.16,377.28,1102.78,1980.72,260440.25,760363.8,43,191.95,9.5
21,2024-07-11,2024,7,Perú,Este,Alimentos,Mediana (50-249),190,Cradle to Cradle,Electrónicos (RAEE),Reciclaje,2014.99,867.68,1147.31,43.06,503.28,6226.49,6553.35,338981.65,1087594.37,39,220.84,1.0
22,2022-11-07,2022,11,Chile,Oeste,Textil,Mediana (50-249),242,Ninguna,Textil,Intercambio Industrial,2558.31,2095.55,462.76,81.91,5053.69,23963.62,11402.69,142609.42,355320.14,39,149.16,7.1
23,2023-02-15,2023,2,Argentina,Oeste,Textil,Micro (<10),2,ISO 50001,Metal,Reutilización,2075.13,1434.37,640.76,69.12,1043.87,15635.76,6035.58,122748.24,302964.02,0,146.82,8.2
24,2022-03-26,2022,3,Ecuador,Norte,Metales,Pequeña (10-49),45,ISO 14001 + B Corp,Residuos Orgánicos,Economía de Producto como Servicio,2325.89,1428.75,897.14,61.43,2185.47,8263.21,8807.35,221844.14,653335.32,32,194.5,7.7
25,2022-11-08,2022,11,Uruguay,Centro,Metales,Mediana (50-249),230,ISO 14001 + B Corp,Papel/Cartón,Upcycling,1376.61,358.52,1018.09,26.04,332.92,1852.89,1038.93,270535.96,247573.46,14,-8.49,1.6
26,2022-07-25,2022,7,Brasil,Sur,Plásticos,Grande (250+),1780,ISO 14001,Químico Peligroso,Co-procesamiento,2922.48,2169.96,752.52,74.25,4740.95,25682.62,7275.57,3942.15,6131.13,48,55.53,7.6
27,2019-07-11,2019,7,Paraguay,Oeste,Textil,Mediana (50-249),214,Ninguna,Construcción,Upcycling,3346.02,2752.27,593.75,82.26,5210.59,35357.94,20357.34,490380.27,1030961.2,25,110.24,2.2
28,2022-06-11,2022,6,Uruguay,Sur,Agroindustria,Grande (250+),1581,EMAS,Residuos Orgánicos,Reparación,3807.34,1887.37,1919.97,49.57,3688.72,24028.07,4514.66,41871.21,23370.41,34,-44.19,1.6
29,2020-03-16,2020,3,México,Sur,Manufactura,Micro (<10),2,Cradle to Cradle,Vidrio,Upcycling,3348.95,2142.98,1205.97,63.99,1670.5,23450.15,13397.34,84726.78,196713.76,47,132.17,6.2
30,2024-11-08,2024,11,Chile,Centro,Alimentos,Pequeña (10-49),37,ISO 14001,Textil,Digestión Anaeróbica,514.0,412.5,101.5,80.25,895.39,3962.29,580.76,491938.33,1400994.14,22,184.79,1.6
31,2024-08-23,2024,8,Perú,Este,Manufactura,Micro (<10),7,Ninguna,Textil,Co-procesamiento,769.19,259.51,509.68,33.74,375.73,2668.07,1328.52,459889.21,1298692.34,29,182.39,8.7
32,2024-07-11,2024,7,España,Centro,Electrónica,Grande (250+),1308,Cradle to Cradle,Construcción,Upcycling,148.36,128.14,20.22,86.37,89.7,559.15,830.83,170829.08,536567.3,44,214.1,9.5
33,2024-12-16,2024,12,España,Oeste,Textil,Pequeña (10-49),32,B Corp,Textil,Co-procesamiento,2243.63,478.9,1764.73,21.34,453.67,3332.86,1113.34,332316.05,534052.28,35,60.71,6.0
34,2024-04-11,2024,4,Perú,Norte,Metales,Mediana (50-249),122,ISO 50001,Papel/Cartón,Reparación,602.18,372.13,230.05,61.8,735.63,1488.34,789.99,242615.1,648693.34,48,167.38,8.5
35,2020-05-02,2020,5,Chile,Centro,Textil,Mediana (50-249),172,ISO 14001,Electrónicos (RAEE),Compostaje,4871.6,3077.0,1794.6,63.16,5644.2,9861.09,21580.41,245948.47,766906.49,36,211.82,4.1
36,2019-10-21,2019,10,México,Oeste,Electrónica,Micro (<10),4,Ninguna,Construcción,Reciclaje,3433.82,1093.15,2340.67,31.83,2278.68,15646.47,1244.94,124847.29,271445.36,26,117.42,9.2
37,2020-11-07,2020,11,Chile,Norte,Alimentos,Micro (<10),5,Cradle to Cradle,Textil,Reparación,1326.91,349.41,977.5,26.33,289.21,3127.88,584.91,204850.27,526078.72,30,156.81,7.4
38,2023-04-21,2023,4,Uruguay,Norte,Construcción,Pequeña (10-49),17,Ninguna,Vidrio,Reparación,749.2,305.07,444.13,40.72,186.98,703.22,1966.09,297926.97,885653.73,18,197.27,3.7
39,2023-01-14,2023,1,Brasil,Norte,Electrónica,Grande (250+),1812,Ninguna,Químico Peligroso,Economía de Producto como Servicio,3674.0,2464.87,1209.13,67.09,879.72,11314.94,13697.87,430397.92,973288.43,1,126.14,7.8
40,2024-08-03,2024,8,Uruguay,Oeste,Químicos,Pequeña (10-49),45,Cradle to Cradle,Construcción,Reparación,2352.7,1219.9,1132.8,51.85,1227.62,3552.47,2081.38,206410.9,410016.07,42,98.64,1.8
41,2022-07-02,2022,7,Chile,Centro,Plásticos,Micro (<10),8,B Corp,Plástico,Digestión Anaeróbica,941.97,454.21,487.76,48.22,892.15,4516.22,2816.07,102575.56,220297.32,18,114.77,9.8
42,2019-04-27,2019,4,Paraguay,Oeste,Textil,Micro (<10),7,Cradle to Cradle,Metal,Reparación,4565.08,2556.12,2008.96,55.99,1427.4,32549.46,10832.37,358585.06,726714.24,17,102.66,5.1
43,2021-07-11,2021,7,Colombia,Norte,Papel y Cartón,Pequeña (10-49),38,ISO 14001 + B Corp,Vidrio,Intercambio Industrial,4671.57,2784.42,1887.15,59.6,5861.79,14808.45,7627.0,293881.92,1027618.97,31,249.67,4.1
44,2024-04-19,2024,4,Ecuador,Sur,Químicos,Mediana (50-249),59,ISO 14001 + B Corp,Textil,Co-procesamiento,1917.94,1664.18,253.76,86.77,2003.18,9644.56,6735.47,456801.65,750841.88,42,64.37,5.5
45,2019-12-05,2019,12,Paraguay,Oeste,Plásticos,Micro (<10),2,Cradle to Cradle,Plástico,Co-procesamiento,2052.84,1459.01,593.83,71.07,933.18,11435.9,11335.09,169942.06,438129.97,41,157.81,4.4
46,2020-12-03,2020,12,Perú,Este,Metales,Micro (<10),6,ISO 50001,Químico Peligroso,Reutilización,2172.69,601.37,1571.32,27.68,1018.87,7986.09,2301.8,347306.58,1114948.65,2,221.03,4.4
47,2019-10-28,2019,10,Colombia,Sur,Textil,Pequeña (10-49),39,ISO 50001,Químico Peligroso,Digestión Anaeróbica,1915.81,1403.99,511.82,73.28,1958.38,13159.07,3146.92,319314.41,599899.65,42,87.87,5.9
48,2024-05-15,2024,5,España,Oeste,Metales,Mediana (50-249),218,B Corp,Electrónicos (RAEE),Intercambio Industrial,4227.29,1502.33,2724.96,35.54,1722.16,12053.66,3423.87,286389.42,637054.88,44,122.44,3.5
49,2023-06-08,2023,6,Paraguay,Sur,Manufactura,Mediana (50-249),162,ISO 14001 + B Corp,Madera,Co-procesamiento,3184.91,2179.42,1005.49,68.43,3903.52,24480.41,11864.46,419330.22,999995.36,40,138.47,6.2
